episode,total_reward,avg_energy_saved,avg_comfort_score,avg_wait_time,epsilon
1,-289.0,-5.37,0.733,0.1602,0.998
2,-334.5,-6.24,0.732,0.179,0.996004
3,-237.5,-6.4845,0.711,0.1408,0.994012
4,-235.5,-4.956,0.756,0.1368,0.992024
5,-243.5,-5.2305,0.724,0.1387,0.99004
6,-281.0,-6.9795,0.688,0.1532,0.98806
7,-302.0,-6.033,0.693,0.167,0.986084
8,-264.0,-3.8835,0.77,0.1517,0.984112
9,-253.5,-3.801,0.736,0.1437,0.982143
10,-204.5,-5.235,0.751,0.1248,0.980179
11,-253.0,-5.007,0.728,0.1407,0.978219
12,-247.5,-3.1695,0.76,0.1417,0.976262
13,-306.5,-6.186,0.666,0.1645,0.97431
14,-253.5,-4.1235,0.748,0.142,0.972361
15,-251.5,-5.388,0.678,0.1455,0.970416
16,-215.0,-4.779,0.739,0.1278,0.968476
17,-265.0,-6.2115,0.784,0.1527,0.966539
18,-276.5,-7.6065,0.692,0.1535,0.964606
19,-276.5,-6.1605,0.724,0.1527,0.962676
20,-263.5,-6.333,0.709,0.1495,0.960751
21,-217.0,-1.0095,0.794,0.1375,0.958829
22,-272.5,-4.803,0.758,0.1545,0.956912
23,-317.0,-6.303,0.738,0.171,0.954998
24,-257.5,-4.227,0.775,0.1535,0.953088
25,-279.0,-5.4375,0.626,0.157,0.951182
26,-288.5,-5.0235,0.807,0.161,0.949279
27,-261.0,-6.372,0.711,0.1542,0.947381
28,-227.0,-6.375,0.703,0.1227,0.945486
29,-280.0,-4.3965,0.754,0.1655,0.943595
30,-270.0,-5.964,0.689,0.1532,0.941708
31,-205.5,-3.603,0.696,0.1263,0.939825
32,-242.0,-7.776,0.686,0.1358,0.937945
33,-239.5,-4.059,0.782,0.1447,0.936069
34,-201.0,-4.3515,0.712,0.1233,0.934197
35,-200.5,-6.135,0.73,0.1235,0.932328
36,-223.0,-4.7115,0.714,0.1325,0.930464
37,-240.0,-5.616,0.687,0.1357,0.928603
38,-181.5,-4.779,0.772,0.115,0.926746
39,-232.0,-4.044,0.716,0.1308,0.924892
40,-240.5,-5.3805,0.704,0.139,0.923042
41,-248.0,-4.494,0.752,0.1483,0.921196
42,-289.0,-6.21,0.661,0.1588,0.919354
43,-242.0,-5.0505,0.768,0.1433,0.917515
44,-225.5,-4.857,0.717,0.1425,0.91568
45,-213.0,-5.763,0.837,0.1293,0.913849
46,-249.5,-2.898,0.805,0.1508,0.912021
47,-272.5,-5.2125,0.798,0.16,0.910197
48,-304.5,-5.781,0.721,0.1715,0.908377
49,-151.0,-3.606,0.79,0.104,0.90656
50,-141.5,-3.7935,0.812,0.1068,0.904747
51,-202.5,-4.566,0.719,0.1303,0.902937
52,-298.5,-4.1415,0.755,0.1663,0.901131
53,-219.5,-5.358,0.744,0.129,0.899329
54,-211.0,-6.1725,0.68,0.1255,0.897531
55,-222.5,-5.6175,0.686,0.1308,0.895735
56,-207.5,-4.644,0.781,0.125,0.893944
57,-205.0,-2.466,0.788,0.1343,0.892156
58,-244.0,-5.202,0.838,0.1475,0.890372
59,-198.5,-5.136,0.719,0.1305,0.888591
60,-229.5,-3.57,0.796,0.1405,0.886814
61,-173.5,-4.059,0.774,0.1133,0.88504
62,-217.5,-4.653,0.748,0.1352,0.88327
63,-169.5,-2.3505,0.787,0.1248,0.881504
64,-211.0,-4.452,0.78,0.1263,0.879741
65,-166.5,-2.9505,0.749,0.1148,0.877981
66,-187.5,-2.5875,0.804,0.127,0.876225
67,-226.5,-5.082,0.712,0.1332,0.874473
68,-143.0,-5.3235,0.77,0.1028,0.872724
69,-181.0,-3.6945,0.738,0.1225,0.870978
70,-167.0,-4.2105,0.767,0.117,0.869236
71,-136.5,-0.75,0.818,0.109,0.867498
72,-211.0,-4.845,0.743,0.1353,0.865763
73,-244.0,-4.1925,0.745,0.1433,0.864031
74,-202.5,-4.53,0.836,0.1368,0.862303
75,-192.0,-3.303,0.741,0.126,0.860579
76,-177.5,-3.888,0.728,0.116,0.858858
77,-210.0,-3.7785,0.735,0.1335,0.85714
78,-241.0,-6.1305,0.766,0.1482,0.855426
79,-174.0,-5.2215,0.747,0.1095,0.853715
80,-225.0,-5.163,0.716,0.133,0.852007
81,-225.0,-5.934,0.737,0.1378,0.850303
82,-162.5,-1.8435,0.826,0.1215,0.848603
